time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.077450468661595e-08,-1.055972545971783e-07,10.0062549805125,6.282984689217992,6.282881040791866,0.0,1.751140029616982e-05,-1.416304458269505e-05,0.20848370374348962,-0.011048632760068,-0.017877082211369376,0.0,470.8871598508625,469.5025251786981,470.3587170758438,469.50249994562955
0.12000000000000001,1.3358431563196383e-05,-8.882018792355268e-06,10.025323907178329,6.282173093719869,6.281463208539559,0.0,0.0005695956827688683,-0.0003658924926159082,0.4270903610342117,-0.019010656202852052,-0.038775097405799375,0.0,473.20851665029835,471.59726556357975,474.1190132686884,473.50711906284
0.18,9.820813540231401e-05,-5.9795710362847686e-05,10.056877600519494,6.280821350385233,6.279239274947532,0.0,0.002523250963940539,-0.0014749115178425605,0.6246110354644321,-0.03070457096338776,-0.0338494420004339,0.0,467.176543385091,467.5598173300646,467.1672439512752,466.25465442893136
0.23999999999999996,0.00034056770758899896,-0.0002068812815331841,10.09842202703049,6.278507351346409,6.2788224521531735,0.0,0.005659048812704146,-0.003641330179447309,0.7601212712786585,-0.06294911647947128,0.02140963688456403,0.0,446.3088011055094,450.7955855119399,449.6536354595357,447.03324352373033
0.3,0.0007753216799525665,-0.0005516599611634458,10.149842720283566,6.274442847102732,6.281064589700405,0.0,0.008614868872265032,-0.008302117858017878,0.9537582476517121,-0.0796438655704398,0.05807791829466131,0.0,464.81455892875636,467.67947393489885,466.96716239756944,465.6598798128675
0.36000000000000004,0.0013200321960872368,-0.0012342670729171491,10.208563606487447,6.269500234010767,0.0008188040511587502,0.0,0.00922448777600578,-0.014910103530784227,1.003557471550628,-0.08849143248509599,0.016246514804965403,0.0,423.23086327261944,419.61687492231124,422.1958658869291,421.42594370736316
0.4200000000000001,0.0018541358906495448,-0.002397948823759476,10.269467997006643,6.263746248334108,0.002609261302393584,0.0,0.008445885967450353,-0.024373645150309525,1.0265603812461794,-0.11791597148901957,0.048407271552930134,0.0,411.39726773048807,414.2351103596799,414.10229236910544,411.49689528858073
0.48000000000000015,0.0022912706733883847,-0.00431987236766989,10.335541995721513,6.256496744346524,0.005407665944639817,0.0,0.0058137539497522045,-0.04046938321849065,1.1757459608426775,-0.1273840713262933,0.042849469852215466,0.0,454.52592415701383,454.0815833552107,452.8033344510166,452.0281269860324
0.5400000000000001,0.002499221824395857,-0.007420751563257145,10.412379867159125,6.249272583338865,0.007751135988624647,0.0,0.0008271357409342071,-0.06376216808430557,1.3852581554507113,-0.10920564747892647,0.030128041356576818,0.0,472.1933705450961,471.21172984058126,471.28558247395864,472.6760272237208
0.6000000000000002,0.0023833971066676528,-0.011961047914721584,10.498169100640764,6.242506341889303,0.008967941887749298,0.0,-0.004862071379260523,-0.08824433784163617,1.4742453394040866,-0.12106568862598023,-0.02246550071123151,0.0,438.00045645828527,433.60490520638865,435.6095253165761,434.60500146721597
0.6600000000000003,0.001914859038235994,-0.018108247921374675,10.589237932310478,6.235028661365952,0.007392787318905469,0.0,-0.010609782280743408,-0.11739406266508959,1.5612347978738088,-0.13291451706654342,-0.03517065539770122,0.0,435.1514210166175,434.08646632313776,436.1392619006302,435.13401288080524
0.7200000000000003,0.0011415712230362016,-0.026120665402640787,10.684755425799107,6.227080304845156,0.004917551576990142,0.0,-0.014948903099773366,-0.1504489903597713,1.6225559520789503,-0.13160405683859616,-0.05761345921669084,0.0,428.0147881764204,426.0995117940081,427.24759225542886,427.3423863984603
0.7800000000000004,0.00015715512011909907,-0.036325043855560984,10.784885207767855,6.2195190686319215,0.001176174110986139,0.0,-0.01750305703344873,-0.19046729111555538,1.7149206910392194,-0.11671209432573745,-0.07410251539453473,0.0,438.36172404990594,436.9864969667461,436.63751213013853,437.86312035418337
0.8400000000000004,-0.000900564963238077,-0.0491480527071922,10.891560564828318,6.212167049216696,6.279816825339232,0.0,-0.017277848612448143,-0.2377096251602599,1.8406743770521852,-0.1379055052117429,-0.07924625100805444,0.0,448.53271927395537,448.1103371175561,449.2849930825447,447.549702930809
0.9000000000000005,-0.0018519445113299152,-0.06486638596284454,11.004368965392693,6.2040869232420075,6.275051218844428,0.0,-0.01396365527060159,-0.2870335626960357,1.9194069252412478,-0.12888070600118712,-0.07979006346346385,0.0,433.4857807227913,433.43484889756746,434.30284760384666,435.041856354448
0.9600000000000005,-0.0024877866963003625,-0.08388921509887977,11.124188026395904,6.196876948126478,6.2700065501196836,0.0,-0.0066926182903377825,-0.3478577521973332,2.0742105609622503,-0.10681088230166644,-0.09443387277181114,0.0,459.7232515997368,458.55588176005307,456.59155277880063,458.33588963409477
1.0200000000000005,-0.0025978588065776018,-0.1065524559191359,11.251395389654833,6.190519612561262,6.263939215284822,0.0,0.0036087607673050983,-0.4082125758577859,2.1657871472523342,-0.1042990217948636,-0.11988149595641746,0.0,440.57889985072507,438.46054727400866,439.11974271449867,439.3180751739751
1.0800000000000005,-0.0018904931082103958,-0.13328815801274732,11.38750143378382,6.184329383036925,6.257597251346386,0.0,0.0207490667342361,-0.483671006724316,2.3705741267021754,-0.10100562793148968,-0.08659039883210093,0.0,473.12959526677656,475.6760167031285,474.5898169679798,474.8340029186447
1.1400000000000006,-0.00012931158179461854,-0.16425117094158875,11.531419825768893,6.178428220494627,6.252263745628026,0.0,0.03845812287971381,-0.5489895591336065,2.426498069425964,-0.09351800894152772,-0.0939413422745279,0.0,429.1734395136339,428.54214232893617,429.8892095692756,430.51450806004084
